city,geography,state_id,year,latitude,longitude,average_price,total_volume,sm_4046,l_4225,xl_4770
Albany,Albany,NY,2015,42.65258,-73.756233,1.53875,4029896.43,55636.89,3219826.6,34777.34
Albany,Albany,NY,2016,42.65258,-73.756233,1.533942308,5264335.59,282658.72,4140017.73,3359.23
Albany,Albany,NY,2017,42.65258,-73.756233,1.637830189,5231581.78,170502.18,4209517.84,16056.16
Albany,Albany,NY,2018,42.65258,-73.756233,1.449591837,6273692.68,497480.02,4692216.2,4819.64
Albany,Albany,NY,2019,42.65258,-73.756233,1.427115385,6541284.29,238630.4,5369211.11,14057.35
Albany,Albany,NY,2020,42.65258,-73.756233,1.346875,7475544.73,459280.28,5566694.14,9244.96
Atlanta,Atlanta,GA,2015,33.748997,-84.387985,1.380576923,23231698.12,18179848.08,2015450.55,39408.62
Atlanta,Atlanta,GA,2016,33.748997,-84.387985,1.214134615,28326878.3,13595061.12,4732826.05,22254.55
Atlanta,Atlanta,GA,2017,33.748997,-84.387985,1.428773585,28815119.98,13879908.54,3244119.3,23925.97
Atlanta,Atlanta,GA,2018,33.748997,-84.387985,1.28255102,34764350.89,15428397.72,2166006.24,83442.63
Atlanta,Atlanta,GA,2019,33.748997,-84.387985,1.295,38775962.1,15611218.49,1921642,134007.29
Atlanta,Atlanta,GA,2020,33.748997,-84.387985,1.2078125,45080108.35,18429437.7,1608588.9,19030.56
Baltimore,Baltimore/Washington,MD,2015,39.290386,-76.61219,1.368846154,40645579.54,3194288.38,25577374.1,2385602.4
Baltimore,Baltimore/Washington,MD,2016,39.290386,-76.61219,1.587596154,40893802.32,3611400.18,25547032.18,1379590.63
Baltimore,Baltimore/Washington,MD,2017,39.290386,-76.61219,1.679433962,41015634.46,3921146.38,25079073.59,391281.83
Baltimore,Baltimore/Washington,MD,2018,39.290386,-76.61219,1.397040816,47130386.73,4837286.66,26756916.24,422571.69
Baltimore,Baltimore/Washington,MD,2019,39.290386,-76.61219,1.425480769,50091222.4,5603630.19,24531167.65,425997.9
Baltimore,Baltimore/Washington,MD,2020,39.290386,-76.61219,1.374375,56988008.65,7227450.63,21053148.44,236620.57
Boise,Boise,ID,2015,43.615791,-116.201576,1.37375,3784357.34,2389516.89,600720.4,276085.54
Boise,Boise,ID,2016,43.615791,-116.201576,1.141923077,4653509.53,1824363.91,284383.9,248388.02
Boise,Boise,ID,2017,43.615791,-116.201576,1.492641509,4760561.31,2008107.73,227152.32,430802.99
Boise,Boise,ID,2018,43.615791,-116.201576,1.538469388,4838914.56,2013969.6,258131.73,508002.04
Boise,Boise,ID,2019,43.615791,-116.201576,1.662884615,5531242.95,1970558.68,397613.42,369736.49
Boise,Boise,ID,2020,43.615791,-116.201576,1.416979167,6790966.87,1822009.32,423510.81,74476.34
Boston,Boston,MA,2015,42.360081,-71.058884,1.473557692,27454991.64,245673.3,21366675.86,83927.67
Boston,Boston,MA,2016,42.360081,-71.058884,1.426153846,30571315.07,594814.43,21684372.97,1359831.27
